id,a28,a29,a30,a31,a32,a33,a34,a35
190b3f901bc5c1b10ead61783d7a2150,0,0,0,0,0,0,0,0
794cc2aa28203119f03ce44fb0845167,0,0,0,0,0,0,0,0
ffd87e4c5d636a4ff5e3517edcda0d86,0,0,0,0,0,0,0,0
23e7b795003cc867c439ed24be8a3422,0,28.405,0,1,0,0,0,0
88c97e46ecae152bc525e449fa03d8e9,98.2,15.903,1,1,0,49.8015,0,2
3fba479a6e5bf0d9e11976b5c925eeb5,0,3062.838,0,1,5750,3385.242,1,1
9f6e07564e7641b3f12baa4b5f2d1c54,0,0,0,0,0,0,0,0
e6692305335f66e500c1238a07e773ab,0,1290.0145,0,93,90.7235,84.0315,1,7
a521aef6636b84474ca6025260b90a89,0,0,0,0,0,0,0,0
0cfd007e95b629390a83005e3bd8d3a1,0,0,0,0,0,0,0,0
f500ef65b9681f6448197f0e00a5b5c5,0,0,0,0,0,0,0,0
be46a6e0d824607aa28555eb89540611,0,0,0,0,0,0,0,0
83b6d19e254f65fbfb6257f6bf5559c2,0,0,0,0,0,0,0,0
1169e8bc6b2f00bcbd7ea96161a89672,5008.2,0,1,0,4485,0,1,0
266845cd104d6ebdd46a9109bf5eaada,0,0,0,0,0,0,0,0
1ca0837b5174516781b10e0bf163cd5e,0,0,0,0,0,0,0,0
bc5b6e3847d9ce5a35b2cfca3c6d0384,245.5,0,1,0,0,0,0,0
4dc71c61c74319ec5362d7c9ee42180f,0,0,0,0,0,0,0,0
19aa3829122fd3612ac4d0478eff2c47,0,0,0,0,0,0,0,0
292a5637c09467e913cfc62c07adba42,0,0,0,0,0,0,0,0
f6468af0901dfe19fd6c5ff17fb7a653,245831.209,237559.4035,165,9,221061.119,201600,152,4
74542282d42c1cff626c22c32f26e483,2583.0037,2465.25,1,10,2978.0515,3506.685,1,9
a681a7b408f9d71ea71d3fac94c6d3a0,0,0,0,0,0,0,0,0
db12d61341ff86cfd9d96407d7bced8a,277671.901,267477.44,4,4,0,0,0,0
710542411aa475b5ad35e8e85694e4f9,0,0,0,0,0,0,0,0
fd165e6891f5ab9830f951706f2787d8,0,0,0,0,0,0,0,0
4be0bec4ba187c04659f078e06af9dba,0,0,0,0,0,0,0,0
10bb1ebf3e896240ffd74f0459f526d2,0,0,0,0,718.75,0,1,0
892a443237a020f2ad50c22086c257ea,0,6842.0045,0,4,0,51.1035,0,3
87ed15226ee5ff3a3a8dd8dfe8b23692,0,0,0,0,0,0,0,0
87526a6fd0769cb901afbd8e62874d15,0,0,0,0,0,0,0,0
ce319ba4c19f4fef9b8366d456b2889a,0,0,0,0,0,0,0,0
19bbadb340f5c0df23a01e24ad6790e7,0,0,0,0,0,0,0,0
a8340a9f84ead018ce9725c1dd73ae2c,6051.084,5890,1,2,14034.324,12180,3,2
9b8c42e61104c531e0757dafe67900de,0,0,0,0,0,0,0,0
d336379104c4d34d88eb63269a6a88e2,20428.28086,53612.395,6,65,23246.2955,23246.37,9,61
0d287c306ef51e5df7bef1fc99f6d984,0,0,0,0,0,0,0,0
9bc32fe297f7e87f26ff6e594eb63cc3,9096.266,17454.1505,5,9,19687.862,18084.213,6,9
7e26a7c7d8ec12988c86786bbb36cb97,5377.432,5200.224,2,13,4025.6555,3113.9115,1,57
300ed3d4ff33c581ab033a5ab5ec0df5,0,0,0,0,0,0,0,0
a5847182d4c539e1252dca152a64d72f,0,28.5,0,1,0,0,0,0
1d80b1525fb16b3273ed0ef3921ec71f,0,0,0,0,0,0,0,0
94e65a623c9c8ed3518be7a44a46c9a9,0,0,0,0,115,0,1,0
d1f7731d433964bd93f367e14e9ae779,0,0,0,0,0,0,0,0
59faeced5e729b403a71ea6a4fa1f3d2,25437.11916,26587.422,18,137,38352.201,35617.197,20,144
37e9982ce5a447c06c55f3ffd7272178,0,0,0,0,0,0,0,0
d7df7860c1d7c7811ccd73cda37cd59d,0,0,0,0,0,0,0,0
1d43344f94439627281cbae359508fc9,0,0,0,0,0,0,0,0
e85cb9950f5121a183defb741c857e4f,0,0,0,0,0,0,0,0
29bf885d093dc1c6930a9bebb8288538,0,0,0,0,0,0,0,0
0ccc671a7ee6de57fecfcc379d96a0de,357811.124,342843.6,7,2,1836.7685,7875,2,4
35e642195dd4bbff1eef0e3b9032142a,27349.07316,43076.8,7,6,8797.5,6980.4,4,1
9d4a5768f1bb92017e1caeba95d3b597,0,0,0,0,0,0,0,0
f3c5379e6f2b0b853622910a59d9b942,0.982,0.0095,1,1,0,0,0,0
ed643cfcaa0e59c57677b26d640b4b28,0,0,0,0,0,0,0,0
d06160480fc43333c6b798fb243610ae,0,0,0,0,0,0,0,0
716d41ff03000ccd03f23fef4ba4719b,0,0,0,0,0,0,0,0
29049762fe761e962c6a93faf9f2d967,0,0,0,0,0,0,0,0
88282fac9d7a090e4c945ca08785e6ab,0,0,0,0,0,0,0,0
02cc4796adfdbaa5600064121aa5ac1f,6753.81302,6487.056,2,26,10036.7515,8221.962,3,7
ab155210ef84317d7365eb41cfef8f59,0,0,0,0,0,0,0,0
0da0a6b927b3b378f1e7e157dc6de35c,0,0,0,0,0,0,0,0
d8939e809cecc28d024a504007a2af8b,4288.394,0,1,0,5265.85,4733.4315,1,20
a6afccc6a4c828ca39d36ddb53377e78,0,0,0,0,0,0,0,0
4dcd4ea1bb77a553363b4ace336be0c8,0,0,0,0,0,0,0,0
1d7ce148887e48885931cba1fd357bcd,0,0,0,0,54.418,0,2,0
0ce5b0142cedcd81a8a0e9c45aa11117,0,0,0,0,0,0,0,0
3ffcac7abb1b8a41588c259531bc36a6,0,0,0,0,0,0,0,0
70f85d3966a082c6e5280ab701d70029,9556.4312,2542.2,4,8,8661.34,10742.025,3,7
1c0befbdbbf052e97b7dc6121f465caf,4178.89118,7393.5175,2,13,4051.1165,752.262,2,3
a7f5f29b655fdd578a9ef649de6abfee,0,0.95,0,1,0,0,0,0
208c258cb253b658696f47caeae069f8,5167.26436,5103.3335,12,25,8806.608,7823.823,15,54
dea61b68f93a1914a55f0eb7dabb845a,0,0,0,0,0,0,0,0
ecb88f492c076e7fb5f2377bccd8dba4,2491.04922,3070.362,2,22,0,2228.5725,0,25
5615295c60fffc19dbaf701fe1a1d086,0,0,0,0,0,0,0,0
b7d9726111b798ecaa6a67519f51dbd2,0,0,0,0,0,0,0,0
37457a9de423b221eec1db0526918f4c,0,0,0,0,0,0,0,0
2582196c4a3158a256ceff19b7757abd,0,0,0,0,0,0,0,0
de79d1c38fdbb5dfa6a577cf490962d3,0,0,0,0,0,0,0,0
c74fa5c639f5e79ec3cb1b22201374da,28085.47496,33250.551,8,28,65691.956,97932.576,13,116
84f26759a3bd37800b251d597af36db1,2946,0,1,0,0,0,0,0
bc09cd4407a775b2d0e7ce852650f33b,0,0,0,0,0,0,0,0
b979ca47675eaea9c2747a0e8e4905c4,27790.6,22294.2865,4,14,16330,20676.873,1,18
a1cab5d3a1595f9cb43d7767fad43adc,2846.818,3166.692,2,48,3252.89,1298.22,2,20
c5633941fa9c2829df17ac7126dc2fea,345.664,190,1,1,0,1050,0,1
c059a29847adf262a00019ab918f2482,0,0,0,0,0,0,0,0
7b10e818420dbd28f13f1b54201c296f,0,0,0,0,0,0,0,0
4ca694f5894f7bae21c59f2a24e9a1a3,0,0,0,0,0,0,0,0
559b84032222e9288d48f78f7fe8efba,0,0,0,0,0,0,0,0
4ea464eb1caf70fa1d79ef720fec7788,0,0,0,0,0,0,0,0
ef34ff5fb83f77e1aac81aa3f67c0901,0,0,0,0,0,0,0,0
2fbb6ef32edfc778def92252c1baeded,0,0,0,0,0,0,0,0
a071955884e6b876087193f010d1ba2e,604.912,904.951,1,31,5208.35,2561.034,2,21
8b18bb70d0e2a826ae1ceb7db533d259,0,0,0,0,0,0,0,0
fb8aa351655831e8d73e2de5bdc33adf,0,0,0,0,0,0,0,0
330ca4b9ec3bd51ee7b4d83dc5fb411a,2455,597.0275,1,5,4830,1953.7875,2,8
60ecc3eba864533564b49656caf95421,0,0,0,0,0,0,0,0
a567692ea2ba12d952bf6447fba76282,0,0,0,0,0,0,0,0
92a9fb9087faa0881d397f537ba18d1a,0,0,0,0,0,0,0,0
b1879f87fffd3ba0760325415fac9474,0,0,0,0,0,0,0,0
9c97b512d9538a7ba1add2d234d49a49,1166.616,1768.767,3,24,6279,5686.17,3,11
7a629c30e32e359934f26aa4acfbbfea,0,0,0,0,0,0,0,0
353299a3b236a906ded7d7e70cf9a0c2,0,0,0,0,0,0,0,0
9db43b613dc06c7dc91803519f1718a2,36182.35956,35338.955,10,14,35055.036,31977.75,9,15
7392f9b6e43e34858db90027adfaa8a4,0,0,0,0,3346.5,3055.5,1,1
5ec12020ddd7dad1860c586d679121ab,0,0,0,0,0,0,0,0
dff364c580be6b86b13a57806420eb26,0,0,0,0,0,0,0,0
63b62719712df65316f6738bc88d0ce4,0,0,0,0,0,0,0,0
4e7b3835746325199f71f3e7083eb9a0,0,0,0,0,0,0,0,0
5a2487f1e741a0b701cb151b886ab32a,0,0,0,0,0,0,0,0
0b1bb81e9ca4ed1b7554e00ec2af9949,0,0,0,0,0,0,0,0
7395a239752fd064627fe8ce08858800,0,0,0,0,0,0,0,0
e9e2dcd5f0ae4e1c7b9b240ab56fe962,0,0,0,0,0,0,0,0
070cbc0396cfaf06ba9d1d43ca0886a6,0,0,0,0,0,0,0,0
20fa21ee878dd1c4345a0d02128516de,0,0,0,0,0,0,0,0
0ad03a20fbc9cb243d1305a1c760684e,0,0,0,0,0,71.4,0,1
6db519b36499e9a9ad566e17f5ef4922,245.5,0,1,0,0,0,0,0
e18a2fe22ab091ccd374d6e83b0f0ffb,0,0,0,0,0,0,0,0
26bb60248ac9cf840930f4a3c4751cde,0,0,0,0,0,0,0,0
b0c909549850e7b74cf65f729c61bd1b,0,0,0,0,0,0,0,0
ae948e2b88d46ec3be4ec3ca93217c88,0,18718.6385,0,15,4600,980.6475,1,7
4649c6ca57105aceb95ba9839ee69582,0,0,0,0,0,0,0,0
c100e154e177eab79db60a3980c28f43,0,0,0,0,0,0,0,0
d47737eda97f4cc9ff2951d547b5f0f4,271.14002,262.3045,2,3,0,0,0,0
d48fcc35c96c2f4d1f8c3dd718f42223,0,0,0,0,0,0,0,0
da065c83104b51f277cb8fde4e73e0f3,0,0,0,0,718.75,0,1,0
9c3a5ab686639d8be0f4fdef201fdab1,0,0,0,0,0,0,0,0
b09c939fe65074410751fa3ebf2d1048,0,0,0,0,0,0,0,0
fa443d8ecb410c5689d6cdc73af63c75,0,0,0,0,0,0,0,0
8dc66d10e1a3be9282234eacda2ffdcf,0,950,0,1,0,2940,0,8
866779fd80a8f1a18ae184de5c7e88a1,294.6,0,1,0,345,0,1,0
c0a687d810b7e626b6e6bc85dafb49e7,0,0,0,0,0,23.94,0,1
b4c75f5ef963ce551f87d5d3f9355069,0,0,0,0,0,0,0,0
e30bfc81641f46a3a287035fa3e9e37b,491,401.5555,1,6,575,567.0315,1,3
f2ebb2f7acbb95f9c4d856f729987afb,5295.84744,4.75,1,1,0,0,0,0
1a1b0858c36b9fe1bb088016e4692103,0,0,0,0,0,0,0,0
a75c2419bd9a00e0714d7c8f458e93ff,32406,30821.1825,2,17,0,2170.9065,0,38
3c5c8ebfc4c01f454a5680d8be9cd0a0,0,0,0,0,0,0,0,0
40101d72cd6d92e58eb1bbe941718d8f,144295.3059,133111.15,15,7,173719,141363.705,19,42
06a5f2cc1be47dfc79b076bc3ce8c234,0,1852.291,0,1,0,2047.269,0,1
db281799fac72723e6dc5b610fbdb60b,0,0,0,0,0,0,0,0
a2f2be237a0034ba26603a02fe0ab20e,343.7,332.5,1,1,0,0,0,0
c8ee0236c34763380c75493dcf1ce255,0,0,0,0,0,0,0,0
a705ea8bfa01632e36dda5823306ffc5,0,0,0,0,0,0,0,0
f96ec7a33b69928369427c45e750ab09,29912.702,5700,2,3,86.25,0,1,0
16acabc92799599370591ab28d34f3fa,2749.6,0,1,0,3220,0,1,0
5f343bc3948131d9511c13109dad5e81,0,0,0,0,0,0,0,0
7aee4e4c9ab8614ad6d8c7876faff917,0,0,0,0,0,0,0,0
67eb5d97d10b7dda3e36ab5da32a1fbc,0,0,0,0,0,0,0,0
7752bb55b746e09498c6050a274e56b4,0,0,0,0,0,0,0,0
b2ad2aa1da717a99b18b6d1050253c27,0,0,0,0,0,0,0,0
945a0fa11fcf090189b3971b679c0fd9,2101.6764,2090,1,1,2426.845,66.3915,1,1
db6f883056b57135df161b203ece876b,0,0,0,0,0,0,0,0
0b2fb2530fcecf24aa39ae22b2c75375,210689.465,599265.0255,9,20,46118.772,9391.494,13,42
58727114737eadad0a143af09111f160,0,0,0,0,0,0,0,0
92b344e026114c55199f7e9736c794a8,0,0,0,0,0,0,0,0
c0f6e176bae370819d24ada8126b0370,0,0,0,0,0,0,0,0
a85712321e31c1c3726a4398b4a76861,0,0,0,0,0,0,0,0
04cc3172b299b99f2175f566ef2f5c81,245.5,0,1,0,0,0,0,0
078cc415c103ae37b4feca2a63692fe7,2455,2496.486,1,2,3105,2754.36,1,2
001cfe6980a3534dcc4145faf172fc88,14042.6,13585,2,2,11500,10500,1,1
1ce89ee8f8d8226ad5e6da34d4aa69fe,22183.76298,21565.836,34,41,28691.0625,26160.666,51,61
0afafae1f1b1b305615a0d59a14beae0,0,0,0,0,0,0,0,0
90643fdf594318c28075ea4b79a4a68f,0,155.6005,0,2,0,62.1285,0,1
2fa5d8e53e729b11979a3a9459ae6fa6,166.94,413.7725,1,2,115,37.6845,1,1
a016696188bcd39258a7c7f7d42c44ff,0,0,0,0,0,0,0,0
27ca378ba8b79e8a0c751392b14e2893,0,0,0,0,0,0,0,0
fb018b4aebbe11bb4b692ca6d328cb84,0,811.3,0,16,0,8.4,0,3
ada1860d35b2969bbc945353e5a6a982,0,0,0,0,0,0,0,0
d9ec3cfbaff19097db6cd7c4566169aa,0,0,0,0,0,0,0,0
b24848f2eb1e6b4747dc8f209cd72e01,0,0,0,0,0,0,0,0
a5a0046bc6a49561e20be4d977fcd813,446.10296,123.291,2,1,91853.03,82216.449,5,6
44939cc3194ead5f9c6a81b9c8d46a09,0,0,0,0,0,0,0,0
f89483c0f13b5a257c4803958aebe744,37604.39376,33257.6,21,47,33208.067,15380.4,14,25
36965ef2b66f4632478a8f0f7f420574,0,0,0,0,0,0,0,0
cc872cb6e9e9437bf4ecc042c2a55190,0,0,0,0,0,0,0,0
c314030cf058139e30d7f87aad9d6230,0,0,0,0,0,0,0,0
be694a9e5cf0e47ac4acf93943b4fc2e,94.272,696.73,1,14,230,276.129,2,5
6239fc68142d42e8c025943cc39478e4,0,0,0,0,0,0,0,0
e2c90199ec46e030d688ad2c7a9ad6c9,0,0,0,0,0,0,0,0
f03fb12fab6fbd5355ef89802c223374,613.75,0,1,0,0,0,0,0
8db86fd60ac1915e5f7a550e5d4f0c38,4038.11166,9844.261,2,43,62061.199,27879.5685,4,47
079726f8a738764c0cc761d4f60090d5,70164.882,67878.7255,17,49,110744.6895,100734.249,16,56
f5ef69e8eb2ba9d0245bf527eddd5b4e,0,0,0,0,0,0,0,0
2f58d0363bbbcfc90862b28d4805e9ee,0,0,0,0,0,0,0,0
e4d830ddcf5678a8d1e2503fb12b19a0,0,0,0,0,0,0,0,0
85e792e8d7b02b9aadd0bddc5fbee046,0,0,0,0,0,0,0,0
99255d038601cae11e70b997474b0a63,0,29.108,0,1,0,148.323,0,2
51e01a7616fc5eb989125c7772c6bc35,327.33006,0,1,0,383.3295,0,1,0
46394fe4f912b4772d6a4c1de06aaf1e,0,0,0,0,0,0,0,0
f53b50e38fdbbe4dfc9d6e66fc82739e,0,0,0,0,0,0,0,0
f3a02487619a7d43b64cd988cda74f0b,0,0,0,0,0,0,0,0
c51cf69aecaef476cbed6f3e07864abe,114.51102,0,3,0,12068.1,4399.752,10,55
010d398542134ad370dc8081634cf2e4,0,0,0,0,0,0,0,0
10dd5b736e5472451118c508b9c749ee,0,0,0,0,0,0,0,0
236d7e73c3a0b202c93260ca3db0c15f,0,0,0,0,0,0,0,0
69ae153fae28febd3dc927823755cfde,19804.976,2239.5395,2,6,0,7649.3025,0,25
9f1381ce7fb03f9889bbd446e626abfb,3286.35138,3743.266,9,54,3691.155,3680.7225,10,55
57ae1b70a8d378a2886c8290edf0af62,0,0,0,0,4037.65,3687.1275,1,1
d2d95b81fbefaf506f2285ae60892272,0,0,0,0,0,0,0,0
58a268ec5ebedad04b23cdfc33b4118e,0,0,0,0,0,0,0,0
cca424f3f8b1ff74b815002ddf89f2a4,0,184.0435,0,1,0,273.693,0,2
8b9e47f898b89075128d7afc93bca5f2,0,0,0,0,0,0,0,0
62a2d05603b65ebd377d6036ede80583,0,0,0,0,0,0,0,0
151fb37484fd10b10e7e601a5e2a65dd,1596.77128,3800,1,3,1739.582,0,1,0
ba25125ad4906881848b0325860232e0,0,0,0,0,0,0,0,0
f14b47ab255636e7d8535340891c3697,0,0,0,0,0,0,0,0
ba5cffef293ebd46d6a9019181fa051b,0,0,0,0,0,0,0,0
203076f1c1e2ff5853aa3382d55596ad,163.66994,0,1,0,191.6705,0,1,0
7e80fa31f3b7b7218fe5e9114cf0e3a3,0,0,0,0,0,0,0,0
b8bb9de789822ff4cbd8682b7b9668b9,78560,57000,4,2,0,0,0,0
63d2a21095c739c978a06023c662a5a3,5401,4029.2825,4,18,3220,4254.1485,4,30
e96bc0c6cd5a74a4f7483eef4a2ea138,0,0,0,0,0,0,0,0
eb666ff4e8adf0e9861a4ac279010781,0,0,0,0,0,0,0,0
21cde520d2c99097b7ef8a476c24aa10,392.8,338.4375,1,4,0,53.8125,0,1
f2cf6cf915a7313b50f09d5679fad692,0,0,0,0,0,0,0,0
f4f7dd23701b67a570b8654320ec5836,0,0,0,0,0,0,0,0
8f63111108ee25a1b98244f687e009f7,0,0,0,0,0,0,0,0
22b7dda33301173b5da52dd1036b22cf,0,0,0,0,0,0,0,0
d1648db159f19a1cfba94a9a49dee097,0,0,0,0,0,0,0,0
5add2897a244e972f485d754a0d23045,0,0,0,0,0,0,0,0
16849a8c71a10f404c97b45e9c975196,7856,5940.806,1,9,9315,10529.4,2,6
f7d9ca5c54e75102df65ce39fad56269,327959.522,59828.53,7,14,118450,60276.3,2,20
b1d5f6dd85370b75054a2184ea8013a4,0,0,0,0,0,0,0,0
a106d45be935e0a5998161d702fff30f,0,0,0,0,0,0,0,0
4c3306ed2a43d36b6df3ba1229702439,613.75,570,1,1,0,0,0,0
fbd7287170013bb196c7fc5816be690e,7110.58344,7142.1,4,44,7592.921,6829.62,1,47
5b9764350f36583d9788a60123062a94,0,0,0,0,0,0,0,0
0f2e354a6840f861b9a49932ec14c371,0,0,0,0,0,0,0,0
e4fbce9d03c834ccfb86bb60e63f7768,0,0,0,0,0,0,0,0
28ece91231dc759cd9e1d9ceeda82f10,0,0,0,0,0,0,0,0
26722e83e85a9248bfe63112f0e8d50c,286.744,0,2,0,0,0,0,0
543508fbc2b91010bad78543b3668c99,3486.1,0,2,0,15582.5,0,3,0
1f3d811e7c8a6bc05ae889ce6ea16064,0,0,0,0,0,0,0,0
2b623fdd025191af465fc5b5849b5b17,0,0,0,0,0,0,0,0
834c995946e60b523d5d1f3caf921800,0,0,0,0,0,0,0,0
c52d90ca8063c45b292f61caa0ce130b,148.282,2850,1,1,0,1564.5,0,2
c77156e4c433ab1a4387f9d86b59a69f,14828.2,14372.5785,3,6,18400,16883.9475,4,3
f08c69ec0607cfd8328bc9d5c5b14035,1964,0,1,0,0,0,0,0
3b6b352021850f59d4871350b350c836,3969.54842,3946.3,1,3,2735.7695,2523.3075,1,7
aec58882636deca76cfb891159083406,0,0,0,0,0,0,0,0
75313bbc18f9635fab681e88012cdca0,39915.0103,19987.62,16,72,7034.619,27442.1175,13,35
8845cc1f932817788c98c9fc80f0acd9,0,0,0,0,0,0,0,0
0da50541c1f7bef80f639634dcb9129d,0,0,0,0,0,0,0,0
a4f154bef1d483827ed7a82f7a38577f,0,0,0,0,0,0,0,0
40536dd4dd980bb6fbddf309353baae0,0,0,0,0,0,0,0,0
cf04d7b99f9bbe514c9dc5e621c3c3fb,1561.38,0,1,0,0,0,0,0
f2487fdf9172d057a0fae69097524469,4035.63702,2850,1,1,4726.0515,4305,1,1
bceaf41b07097ce55de6eb527adc8144,0,0,0,0,0,0,0,0
abd27a52d546cb6c5115eaa6a5df0963,0,0,0,0,0,0,0,0
c85e739237f8f71ff2edb8e2c6ef77a5,0,0,0,0,0,0,0,0
f16b493c91c39ebfe7028e49ab1f7441,589.2,504.583,1,1,1495,1420.188,1,1
d039ede84a7078e5d93aaad544b6cc17,0,0,0,0,0,0,0,0
dbfb1074a838230fd4bf1fc435aa6c1d,0,0,0,0,0,0,0,0
b19ace30444de4d17b32e6d33159d331,0,0,0,0,0,0,0,0
dcea7f2e1f0bfb3bb3f264ba873f4ef2,0,0,0,0,0,0,0,0
65310ef4e28cb654d0dcd84d183a51d2,0,0,0,0,0,0,0,0
709ae3a20db0ff94ff7b0a7bb60f2ed7,0,0,0,0,0,0,0,0
a5b6ddfa7ca9cf6ffcaa0eaa00abf9b7,0,0,0,0,0,0,0,0
76abbdfd3fa1f7f4563e8f9a1d2bd21d,0,0,0,0,0,0,0,0
9f3d652034bf84ed2c8f597b4806f5c2,8290.044,2470,3,3,10230.4,11130,6,7
3950d1e1024389c0ec0a6d0e52bfb515,0,0,0,0,0,0,0,0
eee5f3f63e0fd655fba33af16e25fdeb,0,756.2,0,5,1208.6615,902.9055,3,5
8b9ed2215ae0f338f032a7734bd84e4e,0,0,0,0,0,0,0,0
42fc2b5b2fb1867bd5c7407fa88d7335,0,0,0,0,0,0,0,0
a271f15e491e8485e44ae13f7b46fdd7,3074.2492,26600,2,15,3539.585,6300,1,4
6f2e5befc74cd3f9c24f6a98c71ad84b,0,0,0,0,0,0,0,0
2a6d264d79d27516eb539d770cf995e3,245.5,0,1,0,0,0,0,0
0c39e243f63b16523b6daad7fb318958,4395.68732,199500,1,1,644023,21,4,2
5748b28f5a39d8ca38ab0e2473168dbd,0,0,0,0,0,0,0,0
2803e081568a338f40e5dcc95bcce428,0,0,0,0,0,0,0,0
e036ab12f2c5c198a5005c11888d8f8c,0,0,0,0,0,0,0,0
111016b0d08b8e0be4dd8b9152b5a424,0,0,0,0,0,0,0,0
6debd5a868fa58cdec3ef1edbd89fcf6,0,0,0,0,0,0,0,0
dd67300ee76dae77b3fc7d337844a87f,0,0,0,0,1309928.2,637444.5,6,7
41733386c4313c34675719b42e92b5c9,2513.92,2491.2135,5,25,4439,4042.9935,7,49
e4bfb155946832d422cdb7e6a8add885,0,0,0,0,0,0,0,0
b2d27376af8cfc0e0d9a60aecb6f35d7,0,0,0,0,0,0,0,0
c44438f3f23e092698e1e6c9d8de6dba,0,0,0,0,0,0,0,0
e7ba28dfe67e5afef65eb5683748cb81,0,0,0,0,0,0,0,0
ee0c3628bb67101d6f26b61c0dbd76b2,982,136.0115,1,1,0,150.5805,0,2
bc7ca97737c2dc192337d88d031518fc,0,0,0,0,0,0,0,0
9896be5fefc52b234fa24be8599c113e,0,0,0,0,0,0,0,0
612ddaf6256fc091775c6d9dbbdb2ad5,0,65.55,0,1,0,0,0,0
e5ebb06e57aec3aa239b3bf5fafbb543,3788.556,2811.069,1,78,0,897.225,0,12
fd1eca2134f949b3c580df9803eb6cbf,0,0,0,0,0,0,0,0
abb21b468b76e2be00fe4732af8bb8a2,0,0,0,0,0,0,0,0
35a0ba18a14e06fb70d0e17db58f2d80,0,0,0,0,0,0,0,0
c45194cc0b9dc0a83be665024fa54f9f,33957.56,32722.142,12,43,24789.1125,22412.964,14,48
768f9fe57b41df46e37c02d9bd89c6aa,0,0,0,0,0,0,0,0
2ecd42f155552e75879394ffc4bccea6,0,0,0,0,0,0,0,0
9b177c9e8640cbd7116ad71407d76d40,0,39.52,0,1,0,75.6,0,1
22ca4d66b73f7ed0d77e242826c6ff33,0.00982,0.0095,1,1,0,0,0,0
d2e9f87d1f43b4f02306673061a7ec4a,0,0,0,0,0,0,0,0
0c7403aec052fe9c1ee6e635e9245b86,2202.80276,0,1,0,2579.657,0,1,0
09480aeb671c94a73b861f08b50ccd2d,0,0,0,0,0,0,0,0
8bbe4d5d6a552ab0a8fdbb264ff69f94,2288.3546,0,1,0,2679.845,10500,1,1
421f45c4b6af7e2038d12f80027cb44e,491,779.8455,1,13,16676.334,14474.1135,15,76
3bad705e0b95eb4509196c5e8256f6ac,0,229.5865,0,1,1150,262.206,2,1
83b24d0abd06e410c9a0546e233dec64,402630.802,389548.45,3,3,4956.293,3629.9235,15,4
8e5c47e2a6ad7135774a19d05ae147b6,0,0,0,0,0,0,0,0
67b33b416404b696cb4ced3629f1f842,29460,14250,2,1,1331.7,1574.349,3,3
0e63fac354eb90d2b8f88887861e7e8d,1129.16252,150913.675,4,9,90219.3055,47674.62,9,61
fcc85a498dc9cb3c7b3c1c01b9f6331d,0,0,0,0,0,0,0,0
413bef6bf5f5d90f09d717f5f6d18ecd,0,0,0,0,0,0,0,0
69fbc578eedbf5d00fe8c3f68098a394,0,95,0,1,151579.2345,138600,1,1
72ebd101f3f1e5ab78d097cc36f8754a,0,0,0,0,0,0,0,0
4d886313068f896edb3649ace98a970e,0,0,0,0,1150000,525000,12,2
